discipline_title,event_title,slug_game,participant_type,medal_type,athletes,rank_equal,rank_position,country_name,country_code,country_3_letter_code,athlete_url,athlete_full_name,value_unit,value_type,ano,tempo_segundos,distancia_metros,peso_kg
Athletics,1500m women,rio-2016,Athlete,GOLD,,,1,Kenya,KE,KEN,https://olympics.com/en/athletes/faith-chepngetich-kipyegon,Faith Chepngetich KIPYEGON,248920,TIME,2016,248.92,,
Athletics,800m men,rio-2016,Athlete,GOLD,,,1,Kenya,KE,KEN,https://olympics.com/en/athletes/david-rudisha,David RUDISHA,102150,TIME,2016,102.15,,
Athletics,100m men,rio-2016,Athlete,GOLD,,,1,Jamaica,JM,JAM,https://olympics.com/en/athletes/usain-bolt,Usain BOLT,9810,TIME,2016,9.81,,
Athletics,50km walk men,rio-2016,Athlete,GOLD,,,1,Slovakia,SK,SVK,https://olympics.com/en/athletes/matej-toth,Matej TOTH,13258000,TIME,2016,13258.0,,
Athletics,4x400m relay women,rio-2016,GameTeam,GOLD,,,1,United States of America,US,USA,,,199060,TIME,2016,199.06,,
Athletics,3000m steeplechase women,rio-2016,Athlete,GOLD,,,1,Bahrain,BH,BRN,https://olympics.com/en/athletes/ruth-jebet,Ruth JEBET,539750,TIME,2016,539.75,,
Athletics,marathon women,rio-2016,Athlete,GOLD,,,1,Kenya,KE,KEN,https://olympics.com/en/athletes/jemima-jelagat-sumgong,Jemima Jelagat SUMGONG,8644000,TIME,2016,8644.0,,
Athletics,100m hurdles women,rio-2016,Athlete,GOLD,,,1,United States of America,US,USA,https://olympics.com/en/athletes/brianna-rollins,Brianna ROLLINS,12480,TIME,2016,12.48,,
Athletics,1500m men,rio-2016,Athlete,GOLD,,,1,United States of America,US,USA,https://olympics.com/en/athletes/matthew-centrowitz-1,Matthew CENTROWITZ,230000,TIME,2016,230.0,,
Athletics,10000m women,rio-2016,Athlete,GOLD,,,1,Ethiopia,ET,ETH,https://olympics.com/en/athletes/almaz-ayana,Almaz AYANA,1757450,TIME,2016,1757.45,,
Athletics,200m men,rio-2016,Athlete,GOLD,,,1,Jamaica,JM,JAM,https://olympics.com/en/athletes/usain-bolt,Usain BOLT,19780,TIME,2016,19.78,,
Athletics,5000m women,rio-2016,Athlete,GOLD,,,1,Kenya,KE,KEN,https://olympics.com/en/athletes/vivian-jepkemoi-cheruiyot,Vivian Jepkemoi CHERUIYOT,866170,TIME,2016,866.17,,
Athletics,marathon men,rio-2016,Athlete,GOLD,,,1,Kenya,KE,KEN,https://olympics.com/en/athletes/eliud-kipchoge,Eliud KIPCHOGE,7724000,TIME,2016,7724.0,,
Athletics,400m hurdles men,rio-2016,Athlete,GOLD,,,1,United States of America,US,USA,https://olympics.com/en/athletes/kerron-clement,Kerron CLEMENT,47730,TIME,2016,47.73,,
Athletics,4x400m relay men,rio-2016,GameTeam,GOLD,,,1,United States of America,US,USA,,,177300,TIME,2016,177.3,,
Athletics,4x100m relay women,rio-2016,GameTeam,GOLD,,,1,United States of America,US,USA,,,41010,TIME,2016,41.01,,
